station,effort days,Hedgehog
1,20,2
2,3,0
4,24,0
6,24,0
7,24,0
8,24,2
9,24,0
10,24,0
11,24,0
12,24,0
13,24,0
14,24,0
15,24,0
16,3,0
17,24,0
18,24,0
19,22,0
20,24,0
21,24,0
22,24,1
23,24,0
24,24,0
25,24,0
26,24,1
27,2,0
28,8,0
29,24,0
30,24,0
31,24,0
32,24,0
33,25,1
34,24,0
35,25,0
36,24,0
37,24,0
38,24,1
39,24,3
40,24,0
41,24,0
42,24,0
43,24,0
44,24,0
45,24,1
46,10,0
48,24,0
49,8,0
50,24,0
51,24,0
52,24,0
53,25,0
55,24,0
56,24,1
57,4,0
58,24,3
60,20,0
61,24,1
62,23,0
63,4,0
64,17,4
65,24,3
66,24,0
67,24,0
68,24,0
69,24,2
70,24,0
71,11,0
72,21,0
73,21,5
74,24,1
75,24,0
76,24,0
77,24,0
78,14,0
79,27,0
80,24,2
81,24,0
82,23,1
83,24,0
84,24,6
85,24,0
86,24,0
87,24,0
88,20,5
89,24,0
90,24,0
91,16,1
92,24,0
93,22,1
94,24,0
95,27,3
96,24,1
97,24,1
98,24,1
99,8,0
101,24,7
102,24,0
104,24,0
105,21,0
106,24,3
107,24,1
108,24,0
109,22,0
110,24,0
111,14,0
113,24,0
114,45,3
115,24,0
116,31,0
117,24,2
118,24,1
119,24,0
120,2,0
121,19,2
122,24,0
123,24,1
124,24,0
125,24,0
126,31,0
127,24,2
128,25,0
129,6,0
130,22,1
131,24,0
133,24,0
134,32,0
135,24,1
136,36,11
137,24,0
138,24,5
139,21,2
140,24,1
141,24,0
142,24,1
143,22,0
146,24,0
148,24,0
149,24,4
150,21,0
